IDCompania,Alias,Nombre
168,Concor,"Concor Tool & Machine, Inc."
169,Controls,Controls for Automation
170,Conversource,Conversource Stickyback Headquarters
171,Core,"Core Industries, LLC dba Star Trac"
172,CPS,CPS Canadian Primoflex Systems Inc
173,Crane,Crane Materials International
174,Cricon,Cricon International Business Inc.
175,CVC Taiwan,"CVC Technologies, Inc. (2)"
176,CVC California,"CVC Technologies, Inc. (1)"
177,DB Roberts,D.B. Roberts Inc.
178,DAC Components,"DAC Components, Ltd."
179,Z Datalogic,Datalogic Automation Inc.
180,Datamax,Datamax Corporation
181,Datex,"Datex Ohmeda, Inc."
182,Dings,Dings Company Dynamics Group
183,Dispensa,Dispensa-Matic Label Dispensers
184,DRH,Distribuidora de Refacciones Hidraulicas S de RL
185,DNF,DNF Controls
186,Dongguan,Dongguan Guanghong Silicone Products Co. Td
187,Dynapar,Dynapar Corporation / Danaher Indstrial Controls
188,Dynics,Dynics Inc
189,EIDuPont,"E.I. du Pont de Nemours & Company, Inc."
190,Eco,Eco-Energy
191,Ecolibrium,Ecolibrium Solar
192,Electrical,Electrical Insulation Suppliers de Mexico SA de CV
193,Electro,"Electro Static Technology-ITW, Inc"
194,Electronica,"Electronica Olfer, S.L."
195,ELLSWORTH,ELLSWORTH ADHESIVES
196,Emergency,Emergency Sale & Service LLC
197,EMI,EMI Corp.
198,EMSE,EMSE Corporation
199,Engel,Engel de Mexico S.A. De C.V.
201,EquiposGDL,"Equipos Aire GDL, S.A. de C.V."
202,European Industrial,"European Industrial Products, Inc."
203,Evergreen,Evergreen (H.K.) PCB Limited
204,EX Factory,EX-Factory Inc.
205,Fabrik,Fabrik Molded Plastics
206,Fay,Fay J. Packaging
207,Fisher Scientific,"Fisher Scientific CO, LLC"
208,Flint,"Flint Hydrostatics, Inc"
209,Flxon,Flxon Inc.
210,Forestville,"Forestville Machine Company, Inc."
211,Fortress,Fortress Technology Inc.
212,Frituras,Frituras el Rey SA de CV
213,01 Fumex,FUMEX AIR FILTRATION SYSTEMS
214,0 GALCO,0  GALCO INDUSTRIAL  ELECTRONICS
215,Gammaflux,Gammaflux L.P.
216,Garcia,Garcia Medina Maria del Carmen
217,Gardner,Gardner Denver Inc
218,Gearcom USA,"Gearcom, Inc"
219,Gem,"Gem Gravure Co, Inc."
220,Gemini,Gemini Valve
221,Global,Global Equipment Co.
222,Global Instant,"Global Instant Air, Inc."
223,Glo,"Glo-Mold, Inc"
224,Gold,Gold Key Processing Inc
225,Grand,Grand Rapids Label Co
226,GREAT,GREAT LAKES FILTERS
227,Gremed,Gremed Group Corp
228,Grupo GSG,Grupo de Servicios Graficos del Centro SA de CV
229,Grupo Evolucion,Grupo Evolucion Gaso y Loba SA de CV
230,Gut,"Gut Source, Ltd"
231,Hallmark,"Hallmark Industries, Inc."
232,Hamilton,"Hamilton Mold & Machine, Inc."
233,Hangzhou,Hangzhou Shanyou Medical Equipment
234,HAPMAN,HAPMAN
235,Harbor,Harbor Freight Tools
236,Harper,Harper Corporation of America
237,HC Miller,HC Miller Company
238,Herd,Herd Pack LLC
239,Herzog,"Herzog Injection Technology, Inc."
240,Hisco,Hisco
241,Hottinger,Hottinger Baldwin Measurements Inc.
242,HP,HP Products Corporation
243,Humidity,"Humidity Source, LLC"
244,ISEL,I.S.E.L.
245,ICM,"ICM Products, Inc"
246,IEWC,IEWC Corp
247,IFM,IFM EFECTOR S. de R.L. de C.V.
248,IMAC,IMAC Motion Control Corp.
249,Incoe,Incoe Corp.
250,Industrial Rotam,Industrial Rotam SA de CV
251,Industrial Specialist,Industrial Specialties Manufacturing Inc
252,Innovative,Innovative Plastech Inc
253,Inpro,Inpro Seal LLC
255,INSULTAB,INSULTAB
256,Integrated,Integrated Turf Solutions LLC
257,Interface,Interface
258,International Fluid,International Fluid Power
259,International Resistive,"International Resistive Company, Inc."
260,Itrade,Itrade Inc
261,Tomco Bryan,ITW  Tomco
262,ITW El Paso,ITW Filter Products
263,ITW Label,ITW Labels
264,ITW Switches,ITW Switches / ActiveTouch / Ark-Les Transportation
265,ITW Illinois,ITW Tomco
266,ITW Indiana,ITW Tomco Kendallville
267,JBC,JBC Tools Inc.
268,Jeff,Jeff Warfield Electric Company
269,Keene,"Keene Technology, Inc."
270,Keltec,"Keltec-Technolab, Inc"
271,Keunil,Keunil Enpla
272,Kocher,Kocher + Beck USA LP
273,Koester,Koester Corporation
274,Kurz,"Kurz Transfer Products, LP"
275,Labelle,"Labelle Industrial Sales, Inc."
276,Labelmate,Labelmate USA
277,LAMARK,LAMARK SA de CV
278,LaRos,"LaRos Equipment Company, Inc."
279,LEICHT,LEICHT+MULLER Syscotec
280,Logout,Logout SA de CV
281,Loh,Loh Enterprises LLC.
282,Luttmann,"Luttmann Precision Mold, Inc."
283,M Acer,M Acer Automotive Systems Pvt. Ltd
